Exp or Imp,Year,Commodity,Unit,Quantity-Year,Value-Year,Quantity-Jan,Value-Jan,Quantity-Feb,Value-Feb,Quantity-Mar,Value-Mar,Quantity-Apr,Value-Apr,Quantity-May,Value-May,Quantity-Jun,Value-Jun,Quantity-Jul,Value-Jul,Quantity-Aug,Value-Aug,Quantity-Sep,Value-Sep,Quantity-Oct,Value-Oct,Quantity-Nov,Value-Nov,Quantity-Dec,Value-Dec
2,2023,'00911   ',MT,10524,523799,3170,161014,7354,362785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'00915   ',MT,66694,6058901,33446,2979000,33248,3079901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'011     ',KG,741053061,185007223,380849911,98070541,360203150,86936682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01101   ',KG,328421150,78224793,160009990,39454669,168411160,38770124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110101 ',MT,19841,4565871,8286,1974495,11555,2591376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01101011',KG,5945760,1770631,3454306,1051889,2491454,718742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01101012',KG,7329974,1559209,2372158,503655,4957816,1055554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01101013',KG,5364361,966395,2459737,418951,2904624,547444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110103 ',MT,143973,14565040,67975,6946903,75998,7618137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110105 ',MT,163,89664,163,89664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110108 ',KG,7577660,3130618,2606797,1075201,4970863,2055417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01103   ',KG,412631911,106782430,220839921,58615872,191791990,48166558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110301 ',MT,94102,14242204,47462,7056450,46640,7185754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110303 ',KG,132779240,31409631,70969178,16709985,61810062,14699646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0110305 ',MT,21322,5218582,9781,2337549,11541,2881033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'013     ',MT,155638,21799495,50561,9319521,105077,12479974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01301   ',MT,99977,7873321,18496,1634286,81481,6239035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0130101 ',MT,1062,171866,408,72513,654,99353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'0130103 ',MT,97798,7407555,17301,1400050,80497,6007505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01303   ',MT,18825,716462,12930,518219,5895,198243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'01305   ',MT,17598,3986998,9012,2005567,8586,1981431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'015     ',MT,110962,62528304,54459,31246545,56503,31281759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
